"id","decision","t_decides","p_button","trial","trustee","block","pchoice_onset","pchoice_offset","pchoice_rt","dchoice_onset","dchoice_offset","iti_onset","outcome_onset","outcome_offset","first_fixation","pchoice_duration","dchoice_duration","outcome_duration","trustee_dummy","noresponse","comp","trial_cwc","trial_cnc","model","Qshare","pshare_pred","R2","alpha_transformed","beta_transformed","kappaS_transformed","kappaT_bad_transformed","kappaT_good_transformed","kappaT_computer_transformed","PE_mult_z","V_mult_z","p_decides","reward","run"
203521,1,"keep",7,110,"neutral",50,572.354,573.212,0.85,573.238,573.437,574.74,573.539,574.638,151.761,0.858,0.199,1.099,0,0,1,110,62,"policy",0.804008493,0.647238882,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.168706867,0.472457146,1,0,NA
203521,-1,"keep",2,111,"neutral",50,577.325,577.953,0.622,577.976,578.175,579.477,578.276,579.375,151.761,0.628,0.199,1.099,0,0,1,111,63,"policy",0.608704788,0.590317213,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.905954712,-2.249378005,0,1,NA
203521,-1,"share",7,112,"neutral",50,582.513,583.283,0.762,583.314,583.513,584.815,583.614,584.713,151.761,0.77,0.199,1.099,0,0,1,112,64,"policy",0.217930304,0.470478185,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.503569747,-1.496483739,0,1,NA
203521,1,"share",2,113,"neutral",25,587.351,588.383,1.03,588.402,588.601,589.903,588.702,589.801,151.761,1.032,0.199,1.099,0,0,1,113,65,"policy",0.286448556,0.491638836,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.402387705,-0.524711103,1,1.5,NA
203521,1,"keep",7,114,"neutral",25,592.755,593.524,0.761,593.556,593.755,595.058,593.856,594.955,151.761,0.769,0.199,1.099,0,0,1,114,66,"policy",0.581235358,0.582073026,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.884814039,0.043246381,1,0,NA
203521,-1,"share",7,115,"neutral",25,597.326,598.004,0.677,598.027,598.226,599.528,598.327,599.426,151.761,0.678,0.199,1.099,0,0,1,115,67,"policy",0.44004603,0.539069431,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.220514692,-1.924427895,0,1,NA
203521,1,"keep",7,116,"neutral",25,601.797,602.594,0.794,602.614,602.813,604.115,602.914,604.013,151.761,0.797,0.199,1.099,0,0,1,116,68,"policy",0.454609598,0.543543497,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.723447431,-0.200719927,1,0,NA
203521,-1,"keep",2,117,"neutral",25,606.368,606.855,0.485,606.885,607.084,608.386,607.185,608.284,151.761,0.487,0.199,1.099,0,0,1,117,69,"policy",0.344179249,0.509494328,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.568854353,-1.73972405,0,1,NA
203521,-1,"keep",2,118,"neutral",25,611.639,612.295,0.649,612.323,612.522,613.824,612.623,613.722,151.761,0.656,0.199,1.099,0,0,1,118,70,"policy",0.017661322,0.409504113,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.15275347,-1.110631095,0,1,NA
203521,-1,"keep",2,119,"neutral",25,616.627,617.825,1.193,617.844,618.043,619.346,618.145,619.244,151.761,1.198,0.199,1.099,0,0,1,119,71,"policy",-0.229541323,0.338076618,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.837728689,-0.634352675,0,1,NA
203521,-1,"share",7,120,"neutral",25,621.698,622.736,1.035,622.765,622.964,624.267,623.066,624.165,151.761,1.038,0.199,1.099,0,0,1,120,72,"policy",-0.416695358,0.28834384,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.312310328,-0.273768232,0,1,NA
203521,1,"keep",7,121,"neutral",25,626.902,627.576,0.668,627.603,627.802,629.104,627.903,629.002,151.761,0.674,0.199,1.099,0,0,1,121,73,"policy",-0.194018607,0.34798111,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.103137409,-1.450413742,1,0,NA
203521,1,"keep",2,122,"neutral",25,632.34,633.117,0.775,633.141,633.34,634.642,633.441,634.54,151.761,0.777,0.199,1.099,0,0,1,122,74,"policy",-0.146889064,0.361326269,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.043077478,-1.35961057,1,0,NA
203521,-1,"keep",7,123,"neutral",25,637.512,638.307,0.789,638.329,638.528,639.83,638.629,639.728,151.761,0.795,0.199,1.099,0,0,1,123,75,"policy",-0.111207876,0.371575368,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.988527918,-0.862342417,0,1,NA
203521,-1,"share",7,124,"neutral",25,642.633,643.127,0.486,643.15,643.349,644.651,643.45,644.549,151.761,0.494,0.199,1.099,0,0,1,124,76,"policy",-0.327106583,0.31161199,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.198142115,-0.446376419,0,1,NA
203521,1,"keep",7,125,"neutral",25,647.053,647.748,0.689,647.771,647.97,649.272,648.071,649.17,151.761,0.695,0.199,1.099,0,0,1,125,77,"policy",-0.126192064,0.3672566,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.016702081,-1.31973424,1,0,NA
