"id","run","nifti"
221489,2,"nfasm-sub-221489_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221490,1,"nfasm-sub-221490_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221490,2,"nfasm-sub-221490_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221503,1,"nfasm-sub-221503_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221503,2,"nfasm-sub-221503_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221504,1,"nfasm-sub-221504_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221504,2,"nfasm-sub-221504_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221507,1,"nfasm-sub-221507_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221507,2,"nfasm-sub-221507_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221518,1,"nfasm-sub-221518_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221518,2,"nfasm-sub-221518_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221541,1,"nfasm-sub-221541_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221541,2,"nfasm-sub-221541_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221546,1,"nfasm-sub-221546_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221546,2,"nfasm-sub-221546_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221549,1,"nfasm-sub-221549_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221549,2,"nfasm-sub-221549_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
